,Year,Month,level_average,Z Scores
0,2020,7,656.6273333333334,-0.5263214499850806
1,2020,6,665.0573333333333,-0.003356484415657178
2,2020,5,665.0583870967744,-0.0032911129611287913
3,2020,4,671.2753333333333,0.3823844593459886
4,2020,3,671.7232258064516,0.4101699957378219
5,2020,2,673.1144827586205,0.49647825719561794
6,2020,1,672.0567741935483,0.43086206225902746
7,2019,12,672.2525806451611,0.44300914579709627
8,2019,11,673.5350000000001,0.5225655388871265
9,2019,10,668.7970967741936,0.22864413943811684
10,2019,9,666.0126666666666,0.05590874260379592
11,2019,8,667.943870967742,0.17571327295010683
12,2019,7,679.036129032258,0.8638345489639654
13,2019,6,681.0509999999998,0.9888294393876806
14,2019,5,682.7051612903225,1.0914472806972755
15,2019,4,680.1310000000001,0.9317561572614965
16,2019,3,683.4196774193547,1.1357731291928996
17,2019,2,685.2428571428572,1.2488762278083676
18,2019,1,686.645806451613,1.3359098383598624
19,2018,12,685.4178064516128,1.2597294139566182
20,2018,11,684.8858235666664,1.2267272299578624
21,2018,10,679.3318084838711,0.8821773715300882
22,2018,9,664.6273333333334,-0.030032040192030516
23,2018,8,643.4390322580646,-1.3444732195873546
24,2018,7,649.0709677419354,-0.9950894774270047
25,2018,6,646.8133333333333,-1.1351444834487097
26,2018,5,659.298387096774,-0.36061948801214544
27,2018,4,664.9313333333334,-0.011173042619889197
28,2018,3,664.8190322580645,-0.01813977191543556
29,2018,2,664.9403571428572,-0.010613239982057966
30,2018,1,664.3887096774192,-0.044835339361565654
31,2017,12,664.8273225806452,-0.017625472002864
32,2017,11,662.3425333333331,-0.17177229562894086
33,2017,10,664.2395161290323,-0.054090736620802625
34,2017,9,660.1956666666666,-0.30495569449197607
35,2017,8,659.0170967741935,-0.37806966403389225
36,2017,7,658.1574193548387,-0.4314007639168963
37,2017,6,668.9253333333334,0.23659944521928578
38,2017,5,672.6512903225806,0.4677435696077627
39,2017,4,680.828,0.9749953720897092
40,2017,3,685.3387096774194,1.2548225525339942
41,2017,2,684.8803571428571,1.2263881139271087
42,2017,1,684.746129032258,1.2180611152037502
43,2016,12,685.5503870967741,1.2679542102237527
44,2016,11,679.0159000000002,0.8625796171539758
45,2016,10,675.9029354838711,0.6694632018519254
46,2016,9,675.1753333333332,0.6243255466200991
47,2016,8,667.9748387096773,0.17763439324607114
48,2016,7,667.6632258064518,0.15830312026785942
49,2016,6,681.2363333333332,1.0003268107145538
50,2016,5,673.7890322580645,0.5383247288150236
51,2016,4,665.5296666666667,0.025945269487543794
52,2016,3,664.8848387096775,-0.014057391286482337
53,2016,2,663.6175862068966,-0.09267289086947177
54,2016,1,667.1874193548387,0.12878590738700732
55,2015,12,666.0126129032259,0.05590540732551136
56,2015,11,661.2382,-0.24028091290577547
57,2015,10,646.4170967741935,-1.1597254844579477
58,2015,9,646.3576666666665,-1.1634123010815094
59,2015,8,649.4693548387097,-0.9703750652860951
60,2015,7,664.3922580645161,-0.044615210994311885
61,2015,6,667.6746666666667,0.15901286748830423
62,2015,5,654.1464516129031,-0.6802258655849183
63,2015,4,647.4756666666668,-1.0940558560629134
64,2015,3,645.9616129032256,-1.1879819621445615
65,2015,2,645.0932142857142,-1.2418540918132899
66,2015,1,640.0445161290323,-1.5550560203636545
67,2014,12,635.0536774193549,-1.864668570063418
68,2014,11,636.8894,-1.7507873605519018
69,2014,10,630.2892258064517,-2.160236929932831
70,2014,9,628.853,-2.2493348871595145
71,2014,8,628.6099999999999,-2.264409677981982
72,2014,7,635.3087096774193,-1.8488473439592983
73,2014,6,639.7726666666666,-1.571920521517409
74,2014,5,636.128064516129,-1.7980177027950068
75,2014,4,638.699,-1.638526696056718
76,2014,3,641.8541935483871,-1.44279055306773
77,2014,2,642.7082142857143,-1.3898103721078354
78,2014,1,642.7751612903226,-1.3856572359322827
79,2013,12,639.8471935483872,-1.5672971587495583
80,2013,11,641.1495333333334,-1.4865049783469395
81,2013,10,638.4454516129033,-1.6542558684799904
82,2013,9,634.7113333333333,-1.8859062881131448
83,2013,8,634.2596774193548,-1.9139252939853841
84,2013,7,641.1787096774194,-1.4846949895236403
85,2013,6,651.6586666666665,-0.8345585309173938
86,2013,5,649.1764516129034,-0.9885456614188312
87,2013,4,647.423,-1.097323094677394
88,2013,3,648.2867741935482,-1.0437378465885787
89,2013,2,652.8414285714285,-0.7611845049623855
90,2013,1,654.2625806451613,-0.6730216644750115
91,2012,12,651.0609471290323,-0.8716387654866713
92,2012,11,648.3528929999999,-1.0396360886598153
93,2012,10,647.3426800645162,-1.102305836349376
94,2012,9,644.0683333333333,-1.3054337871839503
95,2012,8,640.9529032258065,-1.4987031583484456
96,2012,7,645.8219354838709,-1.1966470151461823
97,2012,6,646.527,-1.152907508574213
98,2012,5,655.7870967741936,-0.5784465132378304
99,2012,4,657.4793333333333,-0.4734666278421223
100,2012,3,664.1783870967743,-0.057882948038371074
101,2012,2,662.2817241379311,-0.1755446655909497
102,2012,1,653.7670967741936,-0.7037595892105744
103,2011,12,652.4046129032257,-0.7882828787324777
104,2011,11,648.2756666666667,-1.0444269150836183
105,2011,10,649.4445161290323,-0.9719159638568221
106,2011,9,643.265,-1.3552695154173326
107,2011,8,642.0606451612905,-1.4299830844279
108,2011,7,643.8309677419355,-1.320159040841446
109,2011,6,643.6906666666666,-1.3288627830712623
110,2011,5,652.9012903225806,-0.7574709108188298
111,2011,4,658.8513333333334,-0.3883529940626098
112,2011,3,665.7470967741937,0.03943380195451931
113,2011,2,671.3703571428572,0.38827937313910293
